id,gene,cell,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,match,PPH4.PWCOCO.,ldcheck,H4..conventional.coloc.
"CCHCR1_T cell, CD4, TFH",CCHCR1,"T cell, CD4, TFH",1,-0.05648965,0.007658086,NA,NA,1.63E-13,NA,NA,NA,NA,NA,NA,NA,-0.071499499,-0.0414798,0.945076266,0.930996744,0.959368714,1.24E-10,Prostate cancer,ieu-b-85,"CCHCR1_T cell, CD4, TFH_Prostate cancer_ieu-b-85",2.67E-11,0.981284398,1
"LY6G5C_T cell, CD4, TFH",LY6G5C,"T cell, CD4, TFH",1,0.058329952,0.009215908,NA,NA,2.46E-10,NA,NA,NA,NA,NA,NA,NA,0.040266773,0.076393131,1.060064708,1.041088471,1.079386831,1.21E-07,Prostate cancer,ieu-b-85,"LY6G5C_T cell, CD4, TFH_Prostate cancer_ieu-b-85",3.16E-11,0.978706576,1
"HLA-F-AS1_T cell, CD4, TH1",HLA-F-AS1,"T cell, CD4, TH1",1,0.034197624,0.008651185,NA,NA,7.72E-05,NA,NA,NA,NA,NA,NA,NA,0.017241302,0.051153945,1.034789085,1.017390791,1.052484906,0.003977317,Prostate cancer,ieu-b-85,"HLA-F-AS1_T cell, CD4, TH1_Prostate cancer_ieu-b-85",1.84E-06,0.818359055,1
"HLA-F-AS1_T cell, CD4, TH1 TH17",HLA-F-AS1,"T cell, CD4, TH1 TH17",1,0.039814881,0.010072217,NA,NA,7.72E-05,NA,NA,NA,NA,NA,NA,NA,0.020073336,0.059556427,1.040618119,1.02027616,1.061365649,0.003977317,Prostate cancer,ieu-b-85,"HLA-F-AS1_T cell, CD4, TH1 TH17_Prostate cancer_ieu-b-85",1.29E-08,0.818359055,1
"DOC2GP_T cell, CD4, TFH",DOC2GP,"T cell, CD4, TFH",1,0.037573229,0.008521763,NA,NA,1.04E-05,NA,NA,NA,NA,NA,NA,NA,0.020870573,0.054275886,1.038288028,1.021089887,1.055775835,0.000701217,Prostate cancer,ieu-b-85,"DOC2GP_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.945933599,0.98195812,0.945934
"RAD51C_T cell, CD8, naive activated",RAD51C,"T cell, CD8, naive activated",1,-0.028244056,0.007247813,NA,NA,9.74E-05,NA,NA,NA,NA,NA,NA,NA,-0.04244977,-0.014038342,0.972151079,0.958438607,0.986059736,0.004746225,Prostate cancer,ieu-b-85,"RAD51C_T cell, CD8, naive activated_Prostate cancer_ieu-b-85",0.72948029,1,0.814382
"CCHCR1_T cell, CD4, TH1 TH17",CCHCR1,"T cell, CD4, TH1 TH17",1,-0.039249606,0.008307692,NA,NA,2.31E-06,NA,NA,NA,NA,NA,NA,NA,-0.055532682,-0.022966529,0.961510681,0.945981107,0.977295194,0.000203286,Prostate cancer,ieu-b-85,"CCHCR1_T cell, CD4, TH1 TH17_Prostate cancer_ieu-b-85",1.96E-09,0.922156884,1
"CASP8_T cell, CD8, naive",CASP8,"T cell, CD8, naive",1,0.036971008,0.007394202,NA,NA,5.73E-07,NA,NA,NA,NA,NA,NA,NA,0.022478373,0.051463643,1.037662936,1.022732915,1.052810909,6.45E-05,Prostate cancer,ieu-b-85,"CASP8_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.926587995,1,0.926588
"CASP8_T cell, CD4, TH1",CASP8,"T cell, CD4, TH1",1,0.037909495,0.007581899,NA,NA,5.73E-07,NA,NA,NA,NA,NA,NA,NA,0.023048973,0.052770018,1.038637227,1.023316653,1.054187173,6.45E-05,Prostate cancer,ieu-b-85,"CASP8_T cell, CD4, TH1_Prostate cancer_ieu-b-85",0.956927806,1,0.956928
"POLI_T cell, CD4, naive",POLI,"T cell, CD4, naive",1,-0.041043382,0.007969589,NA,NA,2.60E-07,NA,NA,NA,NA,NA,NA,NA,-0.056663776,-0.025422988,0.959787492,0.944911718,0.974897455,4.00E-05,Prostate cancer,ieu-b-85,"POLI_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.967824651,0.97501603,0.967825
