id,gene,cell,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,match,PPH4.PWCOCO.,ldcheck,H4..conventional.coloc.
"MPHOSPH6_NK cell, CD56dim CD16+",MPHOSPH6,"NK cell, CD56dim CD16+",1,0.048325326,0.009342128,NA,NA,2.31E-07,NA,NA,NA,NA,NA,NA,NA,0.030014756,0.066635896,1.049512034,1.03046974,1.068906214,3.58E-05,Prostate cancer,ieu-b-85,"MPHOSPH6_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",0.905814027,1,0.905814
"HLA-DPA1_Monocyte, non-classical",HLA-DPA1,"Monocyte, non-classical",1,0.056581242,0.011710238,NA,NA,1.35E-06,NA,NA,NA,NA,NA,NA,NA,0.033629176,0.079533308,1.058212582,1.034201029,1.082781624,0.000137116,Prostate cancer,ieu-b-85,"HLA-DPA1_Monocyte, non-classical_Prostate cancer_ieu-b-85",4.44E-09,1,1
"UHRF1BP1_Monocyte, classical",UHRF1BP1,"Monocyte, classical",1,0.045640756,0.008244782,NA,NA,3.10E-08,NA,NA,NA,NA,NA,NA,NA,0.029480984,0.061800528,1.046698323,1.02991985,1.063750136,7.36E-06,Prostate cancer,ieu-b-85,"UHRF1BP1_Monocyte, classical_Prostate cancer_ieu-b-85",0.809699575,0.995596858,0.8097
"RP3-477O4.16_T cell, CD4, memory TREG",RP3-477O4.16,"T cell, CD4, memory TREG",1,-0.049723185,0.0102188,NA,NA,1.14E-06,NA,NA,NA,NA,NA,NA,NA,-0.069752033,-0.029694337,0.951492775,0.932625051,0.970742208,0.000117036,Prostate cancer,ieu-b-85,"RP3-477O4.16_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",0.000355949,1,0.997923
"HLA-W_T cell, CD8, naive activated",HLA-W,"T cell, CD8, naive activated",1,-0.034269688,0.009844747,NA,NA,0.000499522,NA,NA,NA,NA,NA,NA,NA,-0.053565392,-0.014973985,0.966310867,0.947843957,0.985137568,0.016153687,Prostate cancer,ieu-b-85,"HLA-W_T cell, CD8, naive activated_Prostate cancer_ieu-b-85",0.000472148,0.881854343,1
"HCG4B_T cell, CD4, TH2",HCG4B,"T cell, CD4, TH2",1,0.043803666,0.009103451,NA,NA,1.50E-06,NA,NA,NA,NA,NA,NA,NA,0.025960901,0.061646431,1.04477721,1.026300821,1.063586227,0.000150584,Prostate cancer,ieu-b-85,"HCG4B_T cell, CD4, TH2_Prostate cancer_ieu-b-85",3.34E-08,0.952074402,1
"HLA-B_T cell, CD4, memory TREG",HLA-B,"T cell, CD4, memory TREG",1,0.031097109,0.009231954,NA,NA,0.000756,NA,NA,NA,NA,NA,NA,NA,0.013002479,0.049191739,1.031585675,1.013087378,1.050421738,0.022618998,Prostate cancer,ieu-b-85,"HLA-B_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",2.39E-09,0.835079786,1
"CYP21A2_T cell, CD4, naive",CYP21A2,"T cell, CD4, naive",1,-0.03696955,0.007541053,NA,NA,9.47E-07,NA,NA,NA,NA,NA,NA,NA,-0.051750013,-0.022189087,0.963705479,0.949566216,0.97805528,9.99E-05,Prostate cancer,ieu-b-85,"CYP21A2_T cell, CD4, naive_Prostate cancer_ieu-b-85",1.11E-09,1,1
"CYP21A2_T cell, CD4, TH2",CYP21A2,"T cell, CD4, TH2",1,-0.037839148,0.007718433,NA,NA,9.47E-07,NA,NA,NA,NA,NA,NA,NA,-0.052967277,-0.022711019,0.962867808,0.948411047,0.977544935,9.99E-05,Prostate cancer,ieu-b-85,"CYP21A2_T cell, CD4, TH2_Prostate cancer_ieu-b-85",6.55E-10,1,1
"HCG4B_T cell, CD8, naive activated",HCG4B,"T cell, CD8, naive activated",1,0.035059007,0.00668942,NA,NA,1.60E-07,NA,NA,NA,NA,NA,NA,NA,0.021947744,0.048170269,1.035680819,1.022190368,1.049349312,2.73E-05,Prostate cancer,ieu-b-85,"HCG4B_T cell, CD8, naive activated_Prostate cancer_ieu-b-85",0.000472088,0.996586917,1
"UHRF1BP1_T cell, CD4, TH17",UHRF1BP1,"T cell, CD4, TH17",1,0.03849978,0.007076546,NA,NA,5.31E-08,NA,NA,NA,NA,NA,NA,NA,0.02462975,0.052369811,1.0392505,1.024935568,1.053765364,1.08E-05,Prostate cancer,ieu-b-85,"UHRF1BP1_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.715969372,0.978105176,1
"UHRF1BP1_Monocyte, non-classical",UHRF1BP1,"Monocyte, non-classical",1,0.050610677,0.009302619,NA,NA,5.31E-08,NA,NA,NA,NA,NA,NA,NA,0.032377544,0.06884381,1.05191328,1.0329074,1.071268875,1.08E-05,Prostate cancer,ieu-b-85,"UHRF1BP1_Monocyte, non-classical_Prostate cancer_ieu-b-85",0.778063998,0.978105176,0.955058
"UHRF1BP1_T cell, CD4, TH1 TH17",UHRF1BP1,"T cell, CD4, TH1 TH17",1,0.039647275,0.007287464,NA,NA,5.31E-08,NA,NA,NA,NA,NA,NA,NA,0.025363845,0.053930704,1.040443718,1.025688244,1.055411464,1.08E-05,Prostate cancer,ieu-b-85,"UHRF1BP1_T cell, CD4, TH1 TH17_Prostate cancer_ieu-b-85",0.372311743,0.978105176,1
"RP5-1029F21.4_Monocyte, non-classical",RP5-1029F21.4,"Monocyte, non-classical",1,-0.046249906,0.013434008,NA,NA,0.000575835,NA,NA,NA,NA,NA,NA,NA,-0.072580561,-0.01991925,0.954803322,0.929990822,0.980277828,0.018348265,Prostate cancer,ieu-b-85,"RP5-1029F21.4_Monocyte, non-classical_Prostate cancer_ieu-b-85",4.36E-20,0.92654678,1
"ZSCAN23_T cell, CD4, TH17",ZSCAN23,"T cell, CD4, TH17",1,0.060390839,0.013829204,NA,NA,1.26E-05,NA,NA,NA,NA,NA,NA,NA,0.0332856,0.087496078,1.062251635,1.033845763,1.091437984,0.000829159,Prostate cancer,ieu-b-85,"ZSCAN23_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.95074183,1,0.950742
"ZBTB38_Monocyte, non-classical",ZBTB38,"Monocyte, non-classical",1,0.055983977,0.010178905,NA,NA,3.80E-08,NA,NA,NA,NA,NA,NA,NA,0.036033323,0.07593463,1.057580737,1.036690392,1.078892045,8.49E-06,Prostate cancer,ieu-b-85,"ZBTB38_Monocyte, non-classical_Prostate cancer_ieu-b-85",0.981668649,0.995780461,0.981669
"STYX_Monocyte, non-classical",STYX,"Monocyte, non-classical",1,-0.039723071,0.009519434,NA,NA,3.01E-05,NA,NA,NA,NA,NA,NA,NA,-0.058381163,-0.02106498,0.961055546,0.943290332,0.979155337,0.001725384,Prostate cancer,ieu-b-85,"STYX_Monocyte, non-classical_Prostate cancer_ieu-b-85",0.910574269,0.995812393,0.910574
"XXbac-BPG248L24.12_T cell, CD8, naive",XXbac-BPG248L24.12,"T cell, CD8, naive",1,-0.054886508,0.009487816,NA,NA,7.25E-09,NA,NA,NA,NA,NA,NA,NA,-0.073482628,-0.036290388,0.946592572,0.929152286,0.964360214,2.16E-06,Prostate cancer,ieu-b-85,"XXbac-BPG248L24.12_T cell, CD8, naive_Prostate cancer_ieu-b-85",2.50E-09,0.949394948,1
"CTSK_Monocyte, non-classical",CTSK,"Monocyte, non-classical",1,-0.046943026,0.010132511,NA,NA,3.61E-06,NA,NA,NA,NA,NA,NA,NA,-0.066802747,-0.027083304,0.954141757,0.935379689,0.97328016,0.000283945,Prostate cancer,ieu-b-85,"CTSK_Monocyte, non-classical_Prostate cancer_ieu-b-85",3.15E-09,0.996313404,1
"IFITM4P_NK cell, CD56dim CD16+",IFITM4P,"NK cell, CD56dim CD16+",1,0.032522664,0.007588622,NA,NA,1.82E-05,NA,NA,NA,NA,NA,NA,NA,0.017648965,0.047396362,1.033057306,1.017805629,1.048537527,0.001107417,Prostate cancer,ieu-b-85,"IFITM4P_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",1.90E-06,0.910919445,1
"ZFP30_T cell, CD4, TH1",ZFP30,"T cell, CD4, TH1",1,-0.046281056,0.011182743,NA,NA,3.49E-05,NA,NA,NA,NA,NA,NA,NA,-0.068199233,-0.024362879,0.95477358,0.934074357,0.9759315,0.001981601,Prostate cancer,ieu-b-85,"ZFP30_T cell, CD4, TH1_Prostate cancer_ieu-b-85",0.794263735,1,0.851674
"RP11-393I2.4_T cell, CD4, TFH",RP11-393I2.4,"T cell, CD4, TFH",1,-0.039510298,0.011129661,NA,NA,0.000385231,NA,NA,NA,NA,NA,NA,NA,-0.061324435,-0.017696162,0.961260055,0.940518053,0.982459496,0.012956815,Prostate cancer,ieu-b-85,"RP11-393I2.4_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.504570087,0.953622559,0.843887
"SEPTIN2 _T cell, CD4, TH2",SEPTIN2 ,"T cell, CD4, TH2",1,-0.046673783,0.00988039,NA,NA,2.31E-06,NA,NA,NA,NA,NA,NA,NA,-0.066039347,-0.027308218,0.954398688,0.936094031,0.97306128,0.000203286,Prostate cancer,ieu-b-85,"SEPTIN2 _T cell, CD4, TH2_Prostate cancer_ieu-b-85",4.93E-07,1,0.842952
"AC005104.3_T cell, CD4, TFH",AC005104.3,"T cell, CD4, TFH",1,-0.054756931,0.011591515,NA,NA,2.31E-06,NA,NA,NA,NA,NA,NA,NA,-0.0774763,-0.032037563,0.946715237,0.925448957,0.968470203,0.000203286,Prostate cancer,ieu-b-85,"AC005104.3_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.005433697,1,0.999875
"SEPTIN2 _T cell, CD4, naive TREG",SEPTIN2 ,"T cell, CD4, naive TREG",1,-0.044611952,0.00944392,NA,NA,2.31E-06,NA,NA,NA,NA,NA,NA,NA,-0.063122037,-0.026101868,0.956368526,0.938828895,0.974235841,0.000203286,Prostate cancer,ieu-b-85,"SEPTIN2 _T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",6.10E-07,1,0.981527
"AC005104.3_T cell, CD4, naive TREG",AC005104.3,"T cell, CD4, naive TREG",1,-0.053837557,0.011396892,NA,NA,2.31E-06,NA,NA,NA,NA,NA,NA,NA,-0.076175466,-0.031499649,0.947586022,0.926653596,0.968991297,0.000203286,Prostate cancer,ieu-b-85,"AC005104.3_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",6.10E-07,1,0.981527
"POLI_NK cell, CD56dim CD16+",POLI,"NK cell, CD56dim CD16+",1,-0.049437774,0.009887555,NA,NA,5.73E-07,NA,NA,NA,NA,NA,NA,NA,-0.068817382,-0.030058167,0.951764381,0.933497138,0.970389088,6.45E-05,Prostate cancer,ieu-b-85,"POLI_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",0.961961163,0.99576649,0.961961
"POLI_T cell, CD4, naive activated",POLI,"T cell, CD4, naive activated",1,-0.047834755,0.009566951,NA,NA,5.73E-07,NA,NA,NA,NA,NA,NA,NA,-0.066585979,-0.029083531,0.953291301,0.935582472,0.971335324,6.45E-05,Prostate cancer,ieu-b-85,"POLI_T cell, CD4, naive activated_Prostate cancer_ieu-b-85",0.979299845,0.99576649,0.9793
"SLC6A3_T cell, CD8, naive",SLC6A3,"T cell, CD8, naive",1,-0.027798146,0.008713927,NA,NA,0.001422321,NA,NA,NA,NA,NA,NA,NA,-0.044877442,-0.01071885,0.972584667,0.956114654,0.989338392,0.037144087,Prostate cancer,ieu-b-85,"SLC6A3_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.042471391,0.991535986,1
"AC005104.3_T cell, CD8, naive",AC005104.3,"T cell, CD8, naive",1,-0.052559007,0.011679779,NA,NA,6.80E-06,NA,NA,NA,NA,NA,NA,NA,-0.075451374,-0.029666639,0.948798334,0.927324821,0.970769096,0.000494174,Prostate cancer,ieu-b-85,"AC005104.3_T cell, CD8, naive_Prostate cancer_ieu-b-85",1.94E-10,1,1
"RP11-534L20.5_T cell, CD4, TH2",RP11-534L20.5,"T cell, CD4, TH2",1,-0.022307859,0.006837658,NA,NA,0.001104342,NA,NA,NA,NA,NA,NA,NA,-0.035709669,-0.00890605,0.977939121,0.964920399,0.991133492,0.03057357,Prostate cancer,ieu-b-85,"RP11-534L20.5_T cell, CD4, TH2_Prostate cancer_ieu-b-85",0.527275146,0.981371572,1
"RP11-534L20.5_T cell, CD4, TH1",RP11-534L20.5,"T cell, CD4, TH1",1,-0.024106867,0.007250186,NA,NA,0.000884185,NA,NA,NA,NA,NA,NA,NA,-0.038317231,-0.009896503,0.976181383,0.962407587,0.990152306,0.025646437,Prostate cancer,ieu-b-85,"RP11-534L20.5_T cell, CD4, TH1_Prostate cancer_ieu-b-85",0.539380314,1,1
"RP11-534L20.5_T cell, CD4, naive TREG",RP11-534L20.5,"T cell, CD4, naive TREG",1,-0.02402802,0.007226472,NA,NA,0.000884185,NA,NA,NA,NA,NA,NA,NA,-0.038191905,-0.009864134,0.976258355,0.962528209,0.990184357,0.025646437,Prostate cancer,ieu-b-85,"RP11-534L20.5_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",0.776071615,1,1
"RP11-534L20.5_B cell, naive",RP11-534L20.5,"B cell, naive",1,-0.028131708,0.008460664,NA,NA,0.000884185,NA,NA,NA,NA,NA,NA,NA,-0.044714609,-0.011548806,0.972260304,0.956270354,0.988517625,0.025646437,Prostate cancer,ieu-b-85,"RP11-534L20.5_B cell, naive_Prostate cancer_ieu-b-85",0.006546868,1,1
"HLA-A_T cell, CD4, TH1",HLA-A,"T cell, CD4, TH1",1,-0.041898738,0.008792222,NA,NA,1.88E-06,NA,NA,NA,NA,NA,NA,NA,-0.059131494,-0.024665983,0.958966882,0.942582817,0.975635737,0.000182436,Prostate cancer,ieu-b-85,"HLA-A_T cell, CD4, TH1_Prostate cancer_ieu-b-85",1.82E-06,0.995850314,1
"HLA-G_T cell, CD4, naive TREG",HLA-G,"T cell, CD4, naive TREG",1,0.031092269,0.006524544,NA,NA,1.88E-06,NA,NA,NA,NA,NA,NA,NA,0.018304164,0.043880374,1.031580682,1.018472712,1.044857356,0.000182436,Prostate cancer,ieu-b-85,"HLA-G_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",1.56E-06,1,1
"HLA-G_T cell, CD8, naive",HLA-G,"T cell, CD8, naive",1,0.03199376,0.006696368,NA,NA,1.77E-06,NA,NA,NA,NA,NA,NA,NA,0.018868878,0.045118642,1.032511062,1.01904802,1.04615197,0.000173801,Prostate cancer,ieu-b-85,"HLA-G_T cell, CD8, naive_Prostate cancer_ieu-b-85",1.93E-06,1,1
"HCG4B_T cell, CD4, TH17",HCG4B,"T cell, CD4, TH17",1,0.039751885,0.008120338,NA,NA,9.81E-07,NA,NA,NA,NA,NA,NA,NA,0.023836023,0.055667746,1.040552565,1.024122372,1.057246351,0.000102862,Prostate cancer,ieu-b-85,"HCG4B_T cell, CD4, TH17_Prostate cancer_ieu-b-85",3.78E-09,1,1
"HLA-J_T cell, CD4, naive activated",HLA-J,"T cell, CD4, naive activated",1,0.035367233,0.007826363,NA,NA,6.21E-06,NA,NA,NA,NA,NA,NA,NA,0.020027563,0.050706904,1.036000093,1.02022946,1.052014507,0.000460686,Prostate cancer,ieu-b-85,"HLA-J_T cell, CD4, naive activated_Prostate cancer_ieu-b-85",1.59E-07,0.980191082,1
"HCG4P5_T cell, CD4, TFH",HCG4P5,"T cell, CD4, TFH",1,-0.035126109,0.007773005,NA,NA,6.21E-06,NA,NA,NA,NA,NA,NA,NA,-0.050361198,-0.01989102,0.965483652,0.950885904,0.980305501,0.000460686,Prostate cancer,ieu-b-85,"HCG4P5_T cell, CD4, TFH_Prostate cancer_ieu-b-85",1.95E-08,0.988173177,1
"HLA-A_T cell, CD8, naive",HLA-A,"T cell, CD8, naive",1,-0.037326801,0.008259992,NA,NA,6.21E-06,NA,NA,NA,NA,NA,NA,NA,-0.053516386,-0.021137216,0.963361257,0.947890409,0.979084609,0.000460686,Prostate cancer,ieu-b-85,"HLA-A_T cell, CD8, naive_Prostate cancer_ieu-b-85",1.93E-06,0.980191082,1
"SFTPB_Monocyte, classical",SFTPB,"Monocyte, classical",1,-0.042579229,0.010838349,NA,NA,8.55E-05,NA,NA,NA,NA,NA,NA,NA,-0.063822394,-0.021336065,0.958314536,0.93817161,0.978889939,0.004244394,Prostate cancer,ieu-b-85,"SFTPB_Monocyte, classical_Prostate cancer_ieu-b-85",9.72E-18,1,1
"HLA-G_Monocyte, classical",HLA-G,"Monocyte, classical",1,0.032928069,0.006891921,NA,NA,1.77E-06,NA,NA,NA,NA,NA,NA,NA,0.019419903,0.046436235,1.033476198,1.019609696,1.047531281,0.000173801,Prostate cancer,ieu-b-85,"HLA-G_Monocyte, classical_Prostate cancer_ieu-b-85",4.05E-07,1,1
"AC005104.3_B cell, naive",AC005104.3,"B cell, naive",1,-0.050695633,0.010366688,NA,NA,1.01E-06,NA,NA,NA,NA,NA,NA,NA,-0.071014342,-0.030376924,0.950567948,0.931448533,0.970079818,0.000104843,Prostate cancer,ieu-b-85,"AC005104.3_B cell, naive_Prostate cancer_ieu-b-85",0.477565388,1,0.978179
"LY6G5B_T cell, CD4, TH17",LY6G5B,"T cell, CD4, TH17",1,0.036992309,0.009379816,NA,NA,8.02E-05,NA,NA,NA,NA,NA,NA,NA,0.018607869,0.055376749,1.03768504,1.018782074,1.05693874,0.004009425,Prostate cancer,ieu-b-85,"LY6G5B_T cell, CD4, TH17_Prostate cancer_ieu-b-85",3.64E-07,1,1
"ZBTB38_B cell, naive",ZBTB38,"B cell, naive",1,0.044087898,0.009837795,NA,NA,7.41E-06,NA,NA,NA,NA,NA,NA,NA,0.024805819,0.063369976,1.04507421,1.025116043,1.065420947,0.000528944,Prostate cancer,ieu-b-85,"ZBTB38_B cell, naive_Prostate cancer_ieu-b-85",0.968370119,0.960690102,0.96837
"IFITM4P_T cell, CD4, TH2",IFITM4P,"T cell, CD4, TH2",1,0.034953945,0.008032346,NA,NA,1.35E-05,NA,NA,NA,NA,NA,NA,NA,0.019210547,0.050697344,1.035572015,1.019396257,1.052004449,0.00085569,Prostate cancer,ieu-b-85,"IFITM4P_T cell, CD4, TH2_Prostate cancer_ieu-b-85",3.63E-08,0.920365853,1
"IFITM4P_T cell, CD4, TH17",IFITM4P,"T cell, CD4, TH17",1,0.03621485,0.008322099,NA,NA,1.35E-05,NA,NA,NA,NA,NA,NA,NA,0.019903535,0.052526165,1.036878596,1.020102931,1.053930137,0.00085569,Prostate cancer,ieu-b-85,"IFITM4P_T cell, CD4, TH17_Prostate cancer_ieu-b-85",3.27E-09,0.920365853,1
"IFITM4P_T cell, CD4, TH1 TH17",IFITM4P,"T cell, CD4, TH1 TH17",1,0.033852355,0.007779203,NA,NA,1.35E-05,NA,NA,NA,NA,NA,NA,NA,0.018605118,0.049099593,1.034431867,1.018779271,1.05032495,0.00085569,Prostate cancer,ieu-b-85,"IFITM4P_T cell, CD4, TH1 TH17_Prostate cancer_ieu-b-85",1.09E-08,0.920365853,1
"HCG4B_T cell, CD4, memory TREG",HCG4B,"T cell, CD4, memory TREG",1,0.032470777,0.010186911,NA,NA,0.001435085,NA,NA,NA,NA,NA,NA,NA,0.012504433,0.052437122,1.033003706,1.01258294,1.053836297,0.037349059,Prostate cancer,ieu-b-85,"HCG4B_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",1.83E-05,0.804949896,1
"ZNF793_T cell, CD8, naive activated",ZNF793,"T cell, CD8, naive activated",1,0.032832668,0.010490912,NA,NA,0.001750268,NA,NA,NA,NA,NA,NA,NA,0.012270481,0.053394854,1.033377607,1.012346072,1.054846073,0.043681983,Prostate cancer,ieu-b-85,"ZNF793_T cell, CD8, naive activated_Prostate cancer_ieu-b-85",0.217787551,0.968289456,0.957437
"RP11-503G7.2_T cell, CD4, naive",RP11-503G7.2,"T cell, CD4, naive",1,0.051796468,0.009231054,NA,NA,2.01E-08,NA,NA,NA,NA,NA,NA,NA,0.033703603,0.069889333,1.053161369,1.034278004,1.072389497,4.85E-06,Prostate cancer,ieu-b-85,"RP11-503G7.2_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.948750625,0.890867924,0.948751
"C6orf163_T cell, CD4, naive",C6orf163,"T cell, CD4, naive",1,0.04412777,0.010831362,NA,NA,4.62E-05,NA,NA,NA,NA,NA,NA,NA,0.022898301,0.06535724,1.045115881,1.02316248,1.067540324,0.002525755,Prostate cancer,ieu-b-85,"C6orf163_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.766503147,0.991653489,0.913679
"C10orf32_T cell, CD8, naive",C10orf32,"T cell, CD8, naive",1,0.040605458,0.010460686,NA,NA,0.00010372,NA,NA,NA,NA,NA,NA,NA,0.020102514,0.061108402,1.041441132,1.02030593,1.063014141,0.005036554,Prostate cancer,ieu-b-85,"C10orf32_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.876926034,0.995008245,0.876926
"GSTP1_T cell, CD8, naive activated",GSTP1,"T cell, CD8, naive activated",1,-0.038018076,0.01054611,NA,NA,0.000312227,NA,NA,NA,NA,NA,NA,NA,-0.058688452,-0.0173477,0.962695539,0.943000513,0.982801905,0.011118228,Prostate cancer,ieu-b-85,"GSTP1_T cell, CD8, naive activated_Prostate cancer_ieu-b-85",0.745022114,0.980424747,0.932852
"GSTP1_T cell, CD4, TH17",GSTP1,"T cell, CD4, TH17",1,-0.034709312,0.009628268,NA,NA,0.000312227,NA,NA,NA,NA,NA,NA,NA,-0.053580717,-0.015837907,0.965886147,0.947829432,0.984286854,0.011118228,Prostate cancer,ieu-b-85,"GSTP1_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.648867474,0.980424747,0.977013
"GSTP1_T cell, CD4, TH1 TH17",GSTP1,"T cell, CD4, TH1 TH17",1,-0.038062489,0.01055843,NA,NA,0.000312227,NA,NA,NA,NA,NA,NA,NA,-0.058757012,-0.017367966,0.962652784,0.942935863,0.982781988,0.011118228,Prostate cancer,ieu-b-85,"GSTP1_T cell, CD4, TH1 TH17_Prostate cancer_ieu-b-85",0.602471981,0.980424747,0.988753
"GSTP1_T cell, CD4, TH2",GSTP1,"T cell, CD4, TH2",1,-0.032720557,0.009076593,NA,NA,0.000312227,NA,NA,NA,NA,NA,NA,NA,-0.050510679,-0.014930435,0.967808969,0.950743775,0.985180471,0.011118228,Prostate cancer,ieu-b-85,"GSTP1_T cell, CD4, TH2_Prostate cancer_ieu-b-85",0.440739071,0.980424747,0.998739
"GSTP1_T cell, CD4, naive activated",GSTP1,"T cell, CD4, naive activated",1,-0.036772959,0.010200718,NA,NA,0.000312227,NA,NA,NA,NA,NA,NA,NA,-0.056766366,-0.016779552,0.963894954,0.944814784,0.983360441,0.011118228,Prostate cancer,ieu-b-85,"GSTP1_T cell, CD4, naive activated_Prostate cancer_ieu-b-85",0.523167732,0.980424747,0.972687
"DOC2GP_T cell, CD4, naive activated",DOC2GP,"T cell, CD4, naive activated",1,0.036585982,0.01103998,NA,NA,0.000919868,NA,NA,NA,NA,NA,NA,NA,0.01494762,0.058224344,1.037263486,1.015059894,1.059952763,0.026429253,Prostate cancer,ieu-b-85,"DOC2GP_T cell, CD4, naive activated_Prostate cancer_ieu-b-85",0.523167732,1,0.972687
"FAM21FP_T cell, CD4, TH17",FAM21FP,"T cell, CD4, TH17",1,0.042119306,0.010084904,NA,NA,2.96E-05,NA,NA,NA,NA,NA,NA,NA,0.022352894,0.061885718,1.04301891,1.022604591,1.06384076,0.001717528,Prostate cancer,ieu-b-85,"FAM21FP_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.914684502,0.958088592,0.914685
"CTSK_Monocyte, classical",CTSK,"Monocyte, classical",1,-0.051152175,0.010178896,NA,NA,5.03E-07,NA,NA,NA,NA,NA,NA,NA,-0.071102811,-0.031201538,0.950134073,0.931366132,0.969280206,6.45E-05,Prostate cancer,ieu-b-85,"CTSK_Monocyte, classical_Prostate cancer_ieu-b-85",0.050502333,1,0.990998
"NSUN4_T cell, CD4, naive",NSUN4,"T cell, CD4, naive",1,0.039807548,0.008936388,NA,NA,8.41E-06,NA,NA,NA,NA,NA,NA,NA,0.022292227,0.05732287,1.040610488,1.022542556,1.058997674,0.000597101,Prostate cancer,ieu-b-85,"NSUN4_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.803359097,1,0.803359
"RP4-631H13.6_B cell, naive",RP4-631H13.6,"B cell, naive",1,0.037794996,0.00930856,NA,NA,4.90E-05,NA,NA,NA,NA,NA,NA,NA,0.019550219,0.056039773,1.03851831,1.019742576,1.057639748,0.002661024,Prostate cancer,ieu-b-85,"RP4-631H13.6_B cell, naive_Prostate cancer_ieu-b-85",0.958406749,1,0.958407
"TMEM41B_T cell, CD4, naive TREG",TMEM41B,"T cell, CD4, naive TREG",1,-0.027004003,0.008562245,NA,NA,0.00161134,NA,NA,NA,NA,NA,NA,NA,-0.043786003,-0.010222003,0.973357345,0.957158764,0.989830064,0.040750013,Prostate cancer,ieu-b-85,"TMEM41B_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",0.016267538,0.836785858,1
"HLA-DRB1_T cell, CD4, naive",HLA-DRB1,"T cell, CD4, naive",2,-0.020905011,0.006040407,-0.032743992,-0.009066031,0.00053845,NA,NA,NA,NA,NA,19.82234278,8.50E-06,-0.032744209,-0.009065813,0.979311984,0.967786079,0.990975157,0.017338778,Prostate cancer,ieu-b-85,"HLA-DRB1_T cell, CD4, naive_Prostate cancer_ieu-b-85",1.42E-09,0.948043006,1
"ECHDC2_B cell, naive",ECHDC2,"B cell, naive",1,0.037338576,0.008761007,NA,NA,2.03E-05,NA,NA,NA,NA,NA,NA,NA,0.020167003,0.05451015,1.038044419,1.020371731,1.056023195,0.001212879,Prostate cancer,ieu-b-85,"ECHDC2_B cell, naive_Prostate cancer_ieu-b-85",0.958408626,1,0.958409
"ECHDC2_Monocyte, non-classical",ECHDC2,"Monocyte, non-classical",1,0.038408994,0.009012166,NA,NA,2.03E-05,NA,NA,NA,NA,NA,NA,NA,0.020745149,0.05607284,1.039156155,1.020961825,1.057674722,0.001212879,Prostate cancer,ieu-b-85,"ECHDC2_Monocyte, non-classical_Prostate cancer_ieu-b-85",0.947820309,1,0.94782
"ECHDC2_Monocyte, classical",ECHDC2,"Monocyte, classical",1,0.043765577,0.010269018,NA,NA,2.03E-05,NA,NA,NA,NA,NA,NA,NA,0.023638301,0.063892852,1.044737415,1.0239199,1.065978175,0.001212879,Prostate cancer,ieu-b-85,"ECHDC2_Monocyte, classical_Prostate cancer_ieu-b-85",0.004361018,1,0.939798
"SEPTIN2 _B cell, naive",SEPTIN2 ,"B cell, naive",1,-0.050818534,0.009945393,NA,NA,3.23E-07,NA,NA,NA,NA,NA,NA,NA,-0.070311505,-0.031325563,0.950451129,0.932103419,0.969159999,4.76E-05,Prostate cancer,ieu-b-85,"SEPTIN2 _B cell, naive_Prostate cancer_ieu-b-85",0.476433799,1,0.97818
"RP11-757G1.6_Monocyte, classical",RP11-757G1.6,"Monocyte, classical",1,0.035104094,0.009255742,NA,NA,0.000149028,NA,NA,NA,NA,NA,NA,NA,0.01696284,0.053245348,1.035727516,1.017107526,1.054688379,0.006471664,Prostate cancer,ieu-b-85,"RP11-757G1.6_Monocyte, classical_Prostate cancer_ieu-b-85",4.59E-39,1,1
"RP11-6L6.2_T cell, CD4, naive TREG",RP11-6L6.2,"T cell, CD4, naive TREG",1,0.026057807,0.007038122,NA,NA,0.000213586,NA,NA,NA,NA,NA,NA,NA,0.012263089,0.039852525,1.02640028,1.012338589,1.040657292,0.008750101,Prostate cancer,ieu-b-85,"RP11-6L6.2_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",0.828790582,0.991649506,0.828791
